Brand*,Store id,Name,Lat*,Lng*,Address1,Address2,City,State,Zip code,Country,Phone number,Fax number,Store hours,Time zone,Dma Code,Status*
New England Holocaust Memorial,"",New England Holocaust Memorial,42.3606210188223,-71.0570919513702,Congress St,"",Boston,MA,02109,US,6176354505,"","",EST,"",Active
Giacomo's Ristorante,"",Giacomo's Ristorante,42.3645799,-71.05344,355 Hanover St,"",Boston,MA,02113,US,6175239026,"","",EST,"",Active
Shawarma Falafel,"",Shawarma Falafel,42.357013,-71.0597644,26 Province St,"",Boston,MA,02108,US,8572653017,"","",EST,"",Active
City of Boston,"",City of Boston,42.3603324890137,-71.0579986572266,1 City Hall Plz,"",Boston,MA,02201,US,,"","",EST,"",Active
Tenoch Mexican,"",Tenoch Mexican,42.3633091,-71.0517996,3 Lewis St,"",Boston,MA,02110,US,6172489537,"","",EST,"",Active
Pauli's,"",Pauli's,42.363244212396,-71.0560854227807,65 Salem St,"",Boston,MA,02113,US,8572847064,"","",EST,"",Active
Flour Bakery + Café,"",Flour Bakery + Café,42.3513679504395,-71.0488128662109,12 Farnsworth St,"",Boston,MA,02210,US,6173384333,"","",EST,"",Active
Galleria Umberto,"",Galleria Umberto,42.36377812922,-71.0544499754906,289 Hanover St,"",Boston,MA,02113,US,6172275709,"","",EST,"",Active
Al's State Street Cafe,"",Al's State Street Cafe,42.35927,-71.05507,110 State St,"",Boston,MA,02109,US,6177205555,"","",EST,"",Active
Mike & Patty's,"",Mike & Patty's,42.3485697036883,-71.0677027702332,12 Church St,"",Boston,MA,02116,US,6174233447,"","",EST,"",Active
No. 9 Park,"",No. 9 Park,42.35762,-71.062789,9 Park St,"",Boston,MA,02108,US,6177429991,"","",EST,"",Active
Avana Sushi,"",Avana Sushi,42.3515687774432,-71.0609107137522,42 Beach St,"",Boston,MA,02111,US,6178187782,"","",EST,"",Active
Fenway Park,"",Fenway Park,42.3463520835969,-71.0976473255867,4 Yawkey Way,"",Boston,MA,02115,US,8777337699,"","",EST,"",Active
Regina Pizza,"",Regina Pizza,42.3654185550275,-71.0568833173494,11 Thacher St,"",Boston,MA,02113,US,6172270765,"","",EST,"",Active
James Hook & Co,"",James Hook & Co,42.355005189947,-71.050886414287,440 Atlantic Ave,"",Boston,MA,02110,US,6174235501,"","",EST,"",Active
The North End,"",The North End,42.3636176318038,-71.0547208786011,North End,"",Boston,MA,02455,US,,"","",EST,"",Active
Modern Pastry Shop,"",Modern Pastry Shop,42.3632507324219,-71.0547409057617,257 Hanover St,"",Boston,MA,02113,US,6175233783,"","",EST,"",Active
Ostra,"",Ostra,42.351574820241,-71.0673004388809,1 Charles St S,"",Boston,MA,02116,US,6174211200,"","",EST,"",Active
Caffè Nero,"",Caffè Nero,42.3535129107984,-71.0623134436442,560 Washington St,"",Boston,MA,02111,US,6179363432,"","",EST,"",Active
Saus,"",Saus,42.3610800091721,-71.0570718850568,33 Union St,"",Boston,MA,02108,US,6172488835,"","",EST,"",Active
HarborWalk,"",HarborWalk,42.36552,-71.05524,North End,"",Boston,MA,02113,US,6174821722,"","",EST,"",Active
Biddy Early's,"",Biddy Early's,42.3546486,-71.0537415,141 Pearl St,"",Boston,MA,02110,US,6176549944,"","",EST,"",Active
Grass Roots Cafe,"",Grass Roots Cafe,42.3549818247557,-71.0585443675518,101 Arch St,"",Boston,MA,02110,US,6179512124,"","",EST,"",Active
Thinking Cup,"",Thinking Cup,42.3539183288813,-71.0639215260744,165 Tremont St,"",Boston,MA,02111,US,6174825555,"","",EST,"",Active
Row 34,"",Row 34,42.3496337161869,-71.0473232766807,383 Congress St,"",Boston,MA,02210,US,6175535900,"","",EST,"",Active
Mistral,"",Mistral,42.3481578332115,-71.072759141675,223 Columbus Ave,"",Boston,MA,02116,US,6178679300,"","",EST,"",Active
Barcelona Wine Bar South End,"",Barcelona Wine Bar South End,42.3445511,-71.0708542,525 Tremont St,"",Boston,MA,02116,US,6172662600,"","",EST,"",Active
Falafel King,"",Falafel King,42.35607,-71.061827,48 Winter St,"",Boston,MA,02108,US,6173388355,"","",EST,"",Active
Locale,"",Locale,42.3650849,-71.053187,352 Hanover St,"",Boston,MA,02113,US,6177429600,"","",EST,"",Active
L'Espalier,"",L'Espalier,42.3488797992468,-71.0815322399139,774 Boylston St,"",Boston,MA,02199,US,6172623023,"","",EST,"",Active
Ernesto's,"",Ernesto's,42.363353729248,-71.0558242797852,69 Salem St,"",Boston,MA,02113,US,6175231373,"","",EST,"",Active
The Capital Grille,"",The Capital Grille,42.3477607644841,-71.0853301886383,900 Boylston St,"",Boston,MA,02115,US,6172628900,"","",EST,"",Active
Boston Common,"",Boston Common,42.3553726380041,-71.0657501220703,Beacon St,"",Boston,MA,02139,US,3045634951,"","",EST,"",Active
Roy's Cold Cuts,"",Roy's Cold Cuts,42.3755264282227,-71.0346527099609,198 Marion St,"",Boston,MA,02128,US,6175679760,"","",EST,"",Active
Ogawa Coffee,"",Ogawa Coffee,42.3567795753479,-71.0579220950603,10 Milk St,"",Boston,MA,02108,US,6177807139,"","",EST,"",Active
Render Coffee,"",Render Coffee,42.3411102,-71.0815582,563 Columbus Ave,"",Boston,MA,02118,US,6172624142,"","",EST,"",Active
DavidsTea,"",DavidsTea,42.3420601,-71.0757675,661 Tremont St,"",Boston,MA,02118,US,6175859534,"","",EST,"",Active
Pita Thyme,"",Pita Thyme,42.3580650427804,-71.0550380316331,102 Water St,"",Boston,MA,02109,US,6177427482,"","",EST,"",Active
Italian Express Pizzeria,"",Italian Express Pizzeria,42.367273879279,-71.035738156977,336 Sumner St,"",Boston,MA,02128,US,6175610038,"","",EST,"",Active
Picco,"",Picco,42.3447380009299,-71.070559652418,513 Tremont St,"",Boston,MA,02116,US,6179270066,"","",EST,"",Active
Clover,"",Clover,42.3529583942053,-71.0558474063873,Dewey Sq,"",Boston,MA,02111,US,,"","",EST,"",Active
Atlantic Fish Company,"",Atlantic Fish Company,42.3492217873536,-71.0811272917217,761 Boylston St,"",Boston,MA,02116,US,6172674000,"","",EST,"",Active
Shabu-Zen,"",Shabu-Zen,42.350822,-71.060475,16 Tyler St,"",Boston,MA,02111,US,6172928828,"","",EST,"",Active
The Daily Catch,"",The Daily Catch,42.3640594,-71.0539703,323 Hanover St,"",Boston,MA,02113,US,6175238567,"","",EST,"",Active
Cafe Madeleine,"",Cafe Madeleine,42.3420690000057,-71.0799805819988,517 Columbus Ave,"",Boston,MA,02118,US,8572398052,"","",EST,"",Active
Drink,"",Drink,42.3506699,-71.0484619,348 Congress St,"",Boston,MA,02228,US,6176951806,"","",EST,"",Active
Charles River Bike Paths,"",Charles River Bike Paths,42.3603070472907,-71.0725625172882,Storrow and Memorial Dr,"",Boston,MA,02228,US,,"","",EST,"",Active
Blunch,"",Blunch,42.3354929990873,-71.0747301578522,59 E Springfield St,"",Boston,MA,02118,US,6172478100,"","",EST,"",Active
Island Creek Oyster Bar,"",Island Creek Oyster Bar,42.348682243174,-71.095118452365,500 Commonwealth Ave,"",Boston,MA,02215,US,6175325300,"","",EST,"",Active
Da Vinci,"",Da Vinci,42.3493148,-71.07076,162 Columbus Ave,"",Boston,MA,02116,US,6173500007,"","",EST,"",Active
Mamma Maria,"",Mamma Maria,42.3640543,-71.0533338,3 N Square,"",Boston,MA,02113,US,6175230077,"","",EST,"",Active
Toscano Restaurant,"",Toscano Restaurant,42.357408381604,-71.069847310732,47 Charles St,"",Boston,MA,02114,US,6177234090,"","",EST,"",Active
Mulligans,"",Mulligans,42.3641167,-71.0593948,83 Canal St,"",Boston,MA,02114,US,6172481520,"","",EST,"",Active
Banh Mi House,"",Banh Mi House,42.3559303,-71.0619736,48 Winter St,"",Boston,MA,02108,US,6179564039,"","",EST,"",Active
Flour Bakery & Cafe,"",Flour Bakery & Cafe,42.338443,-71.074548,1595 Washington St,"",Boston,MA,02118,US,6172674300,"","",EST,"",Active
Bonapita,"",Bonapita,42.3556009,-71.0586968,49 Franklin St,"",Boston,MA,02110,US,8573504606,"","",EST,"",Active
Grotto,"",Grotto,42.359920501709,-71.0631332397461,37 Bowdoin St,"",Boston,MA,02114,US,6172273434,"","",EST,"",Active
Shojo,"",Shojo,42.3510322719812,-71.0607028752565,9A Tyler St,"",Boston,MA,02111,US,6174237888,"","",EST,"",Active
My Diner,"",My Diner,42.3427851498127,-71.0544767975807,98 A St,"",Boston,MA,02127,US,6172689889,"","",EST,"",Active
Thinking Cup,"",Thinking Cup,42.3633754209916,-71.0550363743384,236 Hanover St,"",Boston,MA,02113,US,8572335277,"","",EST,"",Active
Theo's Cozy Corner,"",Theo's Cozy Corner,42.3660926818848,-71.0551147460938,162 Salem St,"",Boston,MA,02113,US,6172410202,"","",EST,"",Active
Taranta Cucina Meridionale,"",Taranta Cucina Meridionale,42.363031,-71.0555801,210 Hanover St,"",Boston,MA,02113,US,6177200052,"","",EST,"",Active
Toro,"",Toro,42.3370768,-71.0760316,1704 Washington St,"",Boston,MA,02118,US,6175364300,"","",EST,"",Active
Ko Pies At the Shipyard,"",Ko Pies At the Shipyard,42.3642387,-71.032753,256 Marginal St,"",Boston,MA,02128,US,6174185234,"","",EST,"",Active
Flour Bakery + Café,"",Flour Bakery + Café,42.3483420163393,-71.0740153491497,131 Clarendon St,"",Boston,MA,02116,US,6174377700,"","",EST,"",Active
Egg Puffs,"",Egg Puffs,42.3516293312528,-71.0608778893948,42 Beach St,"",Boston,MA,02111,US,,"","",EST,"",Active
Barrington Coffee Roasting Company,"",Barrington Coffee Roasting Company,42.3506966,-71.0486984,346 Congress St,"",Boston,MA,02210,US,8572771914,"","",EST,"",Active
Yvonne's,"",Yvonne's,42.35549,-71.06141,2 Winter Pl,"",Boston,MA,02108,US,6172670047,"","",EST,"",Active
Al's South Street Cafe,"",Al's South Street Cafe,42.3520819,-71.0573908,179 Essex St,"",Boston,MA,02111,US,6173301002,"","",EST,"",Active
Granary Burial Ground,"",Granary Burial Ground,42.357037579692594,-71.0615658760071,101a Tremont St,"",Boston,MA,02108,US,6176354505,"","",EST,"",Active
The Well Coffee House,"",The Well Coffee House,42.3516830317191,-71.0551238669604,2 South Station,"",Boston,MA,02011,US,,"","",EST,"",Active
Asta,"",Asta,42.3498513,-71.0891662,47 Massachusetts Ave,"",Boston,MA,02115,US,6175859575,"","",EST,"",Active
Sorellina,"",Sorellina,42.3480695590921,-71.0781222595259,1 Huntington Ave,"",Boston,MA,02116,US,6174124600,"","",EST,"",Active
Rino's Place,"",Rino's Place,42.378294552494,-71.032104213469,258 Saratoga St,"",Boston,MA,02128,US,6175677412,"","",EST,"",Active
Kaze Shabu Shabu,"",Kaze Shabu Shabu,42.3522693,-71.0614931,1 Harrison Ave,"",Boston,MA,02111,US,6173388283,"","",EST,"",Active
Carmelina's,"",Carmelina's,42.3640943,-71.0541488,307 Hanover St,"",Boston,MA,02113,US,6177420020,"","",EST,"",Active
Thinking Cup,"",Thinking Cup,42.351938,-71.074951,85 Newbury St,"",Boston,MA,02116,US,6172473333,"","",EST,"",Active
Marliave,"",Marliave,42.357014071346,-71.060306250729,10 Bosworth St,"",Boston,MA,02108,US,6174220004,"","",EST,"",Active
Jm Curley,"",Jm Curley,42.3551788330078,-71.0623931884766,21 Temple Pl,"",Boston,MA,02111,US,6173385333,"","",EST,"",Active
Dino's,"",Dino's,42.365123257041,-71.0554242879152,141 Salem St,"",Boston,MA,02113,US,6172271991,"","",EST,"",Active
Prezza,"",Prezza,42.36473,-71.0527,24 Fleet St,"",Boston,MA,02113,US,6172271577,"","",EST,"",Active
Chicken & Rice Guys - Catering & Food Trucks,"",Chicken & Rice Guys - Catering & Food Trucks,42.3592837851859,-71.0595243236817,Downtown,"",Boston,MA,02116,US,6179038538,"","",EST,"",Active
Chacarero,"",Chacarero,42.3549818247557,-71.0585443675518,101 Arch St,"",Boston,MA,02108,US,6175420392,"","",EST,"",Active
The Charles River,"",The Charles River,42.3612747192383,-71.0749053955078,Storrow Dr,"",Boston,MA,02114,US,,"","",EST,"",Active
Jacques Cabaret,"",Jacques Cabaret,42.349911108613,-71.0672561824322,79 Broadway,"",Boston,MA,02116,US,6174268902,"","",EST,"",Active
sweetgreen,"",sweetgreen,42.3500447371692,-71.0479737950144,372 Congress St,"",Boston,MA,02210,US,8572637916,"","",EST,"",Active
Al Dente Restaurant,"",Al Dente Restaurant,42.3642272949219,-71.0553665161133,109 Salem St,"",Boston,MA,02113,US,6175230990,"","",EST,"",Active
Sportello,"",Sportello,42.3505159467459,-71.0485987365246,348 Congress St,"",Boston,MA,02210,US,6177371234,"","",EST,"",Active
Cafe Gigu,"",Cafe Gigu,42.3728274,-71.0392549,102 Meridian St,"",Boston,MA,02128,US,6175614448,"","",EST,"",Active
Deuxave,"",Deuxave,42.349521,-71.089166,371 Commonwealth Ave,"",Boston,MA,02115,US,6175175915,"","",EST,"",Active
Santarpio's Pizza,"",Santarpio's Pizza,42.3726043701172,-71.0352554321289,111 Chelsea St,"",Boston,MA,02128,US,6175679871,"","",EST,"",Active
sweetgreen,"",sweetgreen,42.35002,-71.07866,659 Boylston St,"",Boston,MA,02116,US,6179363464,"","",EST,"",Active
Zo,"",Zo,42.3592415,-71.0553207,Merchants Row Entrance,"",Boston,MA,02109,US,,"","",EST,"",Active
Orinoco,"",Orinoco,42.3388543725014,-71.0758392512798,477 Shawmut Ave,"",Boston,MA,02118,US,6173697075,"","",EST,"",Active
Cuppacoffee,"",Cuppacoffee,42.3633245,-71.0606972,1 Merrimac St,"",Boston,MA,02114,US,6172480011,"","",EST,"",Active
Bostonia Public House,"",Bostonia Public House,42.3589973449707,-71.0542373657227,131 State St,"",Boston,MA,02109,US,6179489800,"","",EST,"",Active
Shakespeare on the Common,"",Shakespeare on the Common,42.3507957458496,-71.076545715332,Boston Common,"",Boston,MA,02116,US,6174260863,"","",EST,"",Active
