Brand*,Store id,Name,Lat*,Lng*,Address1,Address2,City,State,Zip code,Country,Phone number,Fax number,Store hours,Time zone,Dma Code,Status*
The Coast Cafe,"",The Coast Cafe,42.3629832,-71.1116149,233 River St,"",Cambridge,MA,02139,US,6173547644,"","",EST,"",Active
Atwood's Tavern,"",Atwood's Tavern,42.3727493,-71.0914536,877 Cambridge St,"",Cambridge,MA,02141,US,6178642792,"","",EST,"",Active
Muqueca Restaurant,"",Muqueca Restaurant,42.372638,-71.093872,1008 Cambridge St,"",Cambridge,MA,02139,US,6173543296,"","",EST,"",Active
Tupelo,"",Tupelo,42.3733482,-71.0971909,1193 Cambridge St,"",Cambridge,MA,02139,US,6178680004,"","",EST,"",Active
Ten Tables,"",Ten Tables,42.3793334960938,-71.1274337768555,5 Craigie Cir,"",Cambridge,MA,02138,US,6175765444,"","",EST,"",Active
Basta Pasta Trattoria,"",Basta Pasta Trattoria,42.3646317,-71.1132278,319 Western Ave,"",Cambridge,MA,02139,US,6175766672,"","",EST,"",Active
Armando's Pizza & Subs,"",Armando's Pizza & Subs,42.3823437094688,-71.1312181502581,163 Huron Ave,"",Cambridge,MA,02138,US,6173548275,"","",EST,"",Active
Helmand Restaurant,"",Helmand Restaurant,42.36649,-71.07801,143 1st St,"",Cambridge,MA,02142,US,6174924646,"","",EST,"",Active
Russell House Tavern,"",Russell House Tavern,42.373251,-71.119303,14 JFK St,"",Cambridge,MA,02138,US,6175003055,"","",EST,"",Active
Emma's Pizza,"",Emma's Pizza,42.3665216,-71.0920383,40 Hampshire St,"",Cambridge,MA,02139,US,6178648534,"","",EST,"",Active
East Coast Grill,"",East Coast Grill,42.373574173487,-71.098581340228,1271 Cambridge St,"",Cambridge,MA,02139,US,6174916568,"","",EST,"",Active
Clover,"",Clover,42.3627095,-71.0872718,5 Cambridge Ctr,"",Cambridge,MA,02142,US,,"","",EST,"",Active
Boutique Fabulous,"",Boutique Fabulous,42.373603,-71.0994931,1309 Cambridge St,"",Cambridge,MA,02139,US,6178640656,"","",EST,"",Active
T.W. Food,"",T.W. Food,42.38371,-71.1343799,377 Walden St,"",Cambridge,MA,02138,US,6178644745,"","",EST,"",Active
All Star Sandwich Bar,"",All Star Sandwich Bar,42.373506893888,-71.098204139262,1245 Cambridge St,"",Cambridge,MA,02139,US,6178683065,"","",EST,"",Active
River Gods,"",River Gods,42.3640347,-71.1087176,125 River St,"",Cambridge,MA,02139,US,6175761881,"","",EST,"",Active
Green Street,"",Green Street,42.364521,-71.104195,280 Green St,"",Cambridge,MA,02139,US,6178761655,"","",EST,"",Active
Toad,"",Toad,42.3889043927193,-71.1197222024202,1912 Massachusetts Ave,"",Cambridge,MA,02140,US,6174974950,"","",EST,"",Active
Study,"",Study,42.3633519091773,-71.0880341318771,73 Ames St,"",Cambridge,MA,02142,US,6173740700,"","",EST,"",Active
OTTO,"",OTTO,42.3741824179888,-71.1189034581184,1432 Massachusetts Ave,"",Cambridge,MA,02138,US,6174993352,"","",EST,"",Active
Bondir Cambridge,"",Bondir Cambridge,42.3682904,-71.0977689,279A Broadway,"",Cambridge,MA,02139,US,6176610009,"","",EST,"",Active
JP Licks,"",JP Licks,42.3728905,-71.1175079,1312 Massachusetts Ave,"",Cambridge,MA,02138,US,6174921001,"","",EST,"",Active
Crema Cafe,"",Crema Cafe,42.373415,-71.120771,27 Brattle St,"",Cambridge,MA,02138,US,6178762700,"","",EST,"",Active
Lizard Lounge,"",Lizard Lounge,42.3820838928223,-71.1192016601562,1667 Massachusetts Ave,"",Cambridge,MA,02138,US,6175470759,"","",EST,"",Active
West Bridge,"",West Bridge,42.3665695,-71.0901871,1 Kendall Sq,"",Cambridge,MA,02139,US,6179450221,"","",EST,"",Active
Veggie Galaxy,"",Veggie Galaxy,42.3636681909004,-71.101134969724,450 Massachusetts Ave,"",Cambridge,MA,02139,US,6174971513,"","",EST,"",Active
Toscano,"",Toscano,42.3742954075566,-71.1219486864798,52 Brattle St,"",Cambridge,MA,02138,US,6173545250,"","",EST,"",Active
Park Restaurant & Bar,"",Park Restaurant & Bar,42.3718681,-71.1208725,59 JFK St,"",Cambridge,MA,02138,US,6174919851,"","",EST,"",Active
Harvard Faculty Club,"",Harvard Faculty Club,42.3732469983148,-71.1144089142329,20 Quincy St,"",Cambridge,MA,02138,US,6174955758,"","",EST,"",Active
The Boathouse,"",The Boathouse,42.371337890625,-71.1168212890625,49 Mt Auburn St,"",Cambridge,MA,02138,US,6173491650,"","",EST,"",Active
Petsi Pies,"",Petsi Pies,42.3689575195312,-71.1137161254883,31 Putnam Ave,"",Cambridge,MA,02139,US,6174990801,"","",EST,"",Active
The Village Kitchen,"",The Village Kitchen,42.38146,-71.13848,359 Huron Ave,"",Cambridge,MA,02138,US,6174913133,"","",EST,"",Active
The Plough & Stars,"",The Plough & Stars,42.3683197,-71.1086916,912 Massachusetts Ave,"",Cambridge,MA,02139,US,6175760032,"","",EST,"",Active
Puritan & Company,"",Puritan & Company,42.3731070676765,-71.0967491705349,Inman Square,"",Cambridge,MA,02139,US,6176156195,"","",EST,"",Active
McCabe's on Mass,"",McCabe's on Mass,42.3909052,-71.1225779,2046 Massachusetts Ave,"",Cambridge,MA,02140,US,6179457115,"","",EST,"",Active
Newtowne Grille,"",Newtowne Grille,42.3897728,-71.1203033,1945 Massachusetts Ave,"",Cambridge,MA,02140,US,6176610706,"","",EST,"",Active
Cafe Sushi,"",Cafe Sushi,42.3707199,-71.1132889,1105 Massachusetts Ave,"",Cambridge,MA,02138,US,6174920434,"","",EST,"",Active
