Brand*,Store id,Name,Lat*,Lng*,Address1,Address2,City,State,Zip code,Country,Phone number,Fax number,Store hours,Time zone,Dma Code,Status*
Casa B,"",Casa B,42.3796333372593,-71.0943733155727,253 Washington St,"",Somerville,MA,02143,US,6177642180,"","",EST,"",Active
Guru The Caterer,"",Guru The Caterer,42.40574,-71.13081,1295 Broadway,"",Somerville,MA,02144,US,6177180078,"","",EST,"",Active
Bergamot,"",Bergamot,42.378104828163,-71.106322143569,118 Beacon St,"",Somerville,MA,02143,US,6175767700,"","",EST,"",Active
Sweet Ginger Thai Cuisine,"",Sweet Ginger Thai Cuisine,42.3808403,-71.0973511,22 Bow St,"",Somerville,MA,02143,US,6176255015,"","",EST,"",Active
Bull McCabe's,"",Bull McCabe's,42.3810112,-71.0993869,366A Somerville Ave,"",Somerville,MA,02143,US,6174406045,"","",EST,"",Active
The Shawarma Place,"",The Shawarma Place,42.3936043,-71.1205521,201 Elm St,"",Somerville,MA,02144,US,6176669000,"","",EST,"",Active
Journeyman,"",Journeyman,42.380094788494,-71.094471429088,9 Sanborn Ct,"",Somerville,MA,02143,US,6177182333,"","",EST,"",Active
Parlor Sports,"",Parlor Sports,42.374561,-71.101448,1 Beacon St,"",Somerville,MA,02143,US,6175760231,"","",EST,"",Active
Petiscos,"",Petiscos,42.3965735,-71.1037009,513 Medford St,"",Somerville,MA,02145,US,6177762049,"","",EST,"",Active
Lotus Xpress,"",Lotus Xpress,42.3889093,-71.0859656239252,167 Broadway,"",Somerville,MA,02145,US,6176295909,"","",EST,"",Active
Trina's Starlite Lounge,"",Trina's Starlite Lounge,42.374619071059,-71.101530844105,3 Beacon St,"",Somerville,MA,02143,US,6175760006,"","",EST,"",Active
J and J Restaurant & Takeout,"",J and J Restaurant & Takeout,42.3803406,-71.0901566,157 Washington St,"",Somerville,MA,02143,US,6176253978,"","",EST,"",Active
Istanbul'lu,"",Istanbul'lu,42.402682363998,-71.126685316117,237 Holland St,"",Somerville,MA,02144,US,6174407387,"","",EST,"",Active
Noor Mediterranean Grill,"",Noor Mediterranean Grill,42.4005508,-71.1175461,136 College Ave,"",Somerville,MA,02144,US,6176256667,"","",EST,"",Active
Posto,"",Posto,42.393284,-71.120354,187 Elm St,"",Somerville,MA,02144,US,6176250600,"","",EST,"",Active
True Grounds,"",True Grounds,42.4001263,-71.1123759,717 Broadway,"",Somerville,MA,02144,US,6175919559,"","",EST,"",Active
